2015-05-06 17:09:14,517 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 80 
2015-05-06 17:09:14,517 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 80 
2015-05-06 17:09:14,517 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 80 
2015-05-06 17:09:14,518 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 79 
2015-05-06 17:09:14,518 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 79 
2015-05-06 17:09:14,518 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 79 
2015-05-06 17:09:14,518 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 79 
2015-05-06 17:09:14,519 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 78 
2015-05-06 17:09:14,519 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 78 
2015-05-06 17:09:14,519 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 78 
2015-05-06 17:09:14,519 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 78 
2015-05-06 17:09:14,520 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 77 
2015-05-06 17:09:14,520 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 77 
2015-05-06 17:09:14,520 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 77 
2015-05-06 17:09:14,520 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 77 
2015-05-06 17:09:14,521 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 76 
2015-05-06 17:09:14,521 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 76 
